year_month,0
2020-01,17091
2020-02,17631
2020-03,16013
2020-04,14435
2020-05,13131
2020-06,11392
2020-07,11319
2020-08,10312
2020-09,9199
2020-10,9359
2020-11,8866
2020-12,8772
2021-01,8426
2021-02,7261
2021-03,7738
2021-04,7208
2021-05,6938
2021-06,6443
2021-07,6570
2021-08,6376
2021-09,6165
2021-10,6208
2021-11,5851
2021-12,6077
2022-01,6064
2022-02,5053
2022-03,5524
2022-04,5134
2022-05,5206
2022-06,4897
2022-07,4924
2022-08,4849
2022-09,4513
2022-10,4640
2022-11,4360
2022-12,4555
2023-01,4567
2023-02,4013
2023-03,4664
2023-04,4241
2023-05,4433
2023-06,4218
2023-07,4314
2023-08,4150
2023-09,3839
2023-10,4224
2023-11,4009
2023-12,4276
2024-01,4357
2024-02,4042
2024-03,4201
2024-04,655
